date,followerstolistenersratio,followerstolistenersratiodifference
2019-06-10,50.03,1.9100000000000037
2019-06-13,51.87,1.8399999999999963
2019-06-16,53.94,2.0700000000000003
2019-06-18,55.22,1.2800000000000011
2019-06-20,56.51,1.2899999999999991
2019-06-21,57.25,0.740000000000002
2019-06-22,58.01,0.759999999999998
2019-06-23,58.73,0.7199999999999989
2019-06-24,59.41,0.6799999999999997
2019-06-25,60.05,0.6400000000000006
2019-06-26,60.73,0.6799999999999997
2019-06-27,61.45,0.720000000000006
2019-06-28,62.18,0.7299999999999969
2019-06-29,63.03,0.8500000000000014
2019-06-30,63.47,0.4399999999999977
2019-07-01,63.82,0.3500000000000014
2019-07-02,64.10,0.27999999999999403
2019-07-03,64.32,0.21999999999999886
2019-07-04,64.57,0.25
2019-07-05,64.79,0.22000000000001307
2019-07-06,65.00,0.20999999999999375
2019-07-07,65.34,0.3400000000000034
2019-07-08,65.70,0.35999999999999943
2019-07-09,65.99,0.28999999999999204
2019-07-10,66.19,0.20000000000000284
2019-07-11,66.40,0.21000000000000796
2019-07-12,66.57,0.1699999999999875
2019-07-13,66.75,0.18000000000000682
2019-07-14,66.98,0.23000000000000398
2019-07-15,67.23,0.25
2019-07-16,67.45,0.21999999999999886
2019-07-17,67.65,0.20000000000000284
2019-07-18,67.88,0.22999999999998977
2019-07-19,68.08,0.20000000000000284
2019-07-22,68.99,0.9099999999999966
2019-07-23,69.29,0.30000000000001137
2019-07-24,69.53,0.23999999999999488
2019-07-25,69.85,0.3199999999999932
2019-07-26,70.22,0.37000000000000455
2019-07-27,70.57,0.3499999999999943
2019-07-28,70.95,0.38000000000000966
2019-07-29,71.35,0.3999999999999915
2019-07-30,71.72,0.37000000000000455
2019-07-31,72.06,0.3400000000000034
2019-08-01,72.39,0.3299999999999983
2019-08-02,72.73,0.3400000000000034
2019-08-03,73.07,0.3399999999999892
2019-08-04,73.48,0.4100000000000108
2019-08-05,73.82,0.3399999999999892
2019-08-06,74.22,0.4000000000000057
2019-08-07,74.58,0.35999999999999943
2019-08-08,74.98,0.4000000000000057
2019-08-09,75.42,0.4399999999999977
2019-08-10,75.83,0.4099999999999966
2019-08-11,76.13,0.29999999999999716
2019-08-13,76.87,0.7400000000000091
2019-08-14,77.17,0.29999999999999716
2019-08-15,77.54,0.37000000000000455
2019-08-16,77.97,0.4299999999999926
2019-08-17,78.39,0.4200000000000017
2019-08-18,78.73,0.3400000000000034
2019-08-19,79.10,0.36999999999999034
2019-08-20,79.45,0.3500000000000085
2019-08-21,79.81,0.35999999999999943
2019-08-22,80.17,0.35999999999999943
2019-08-23,80.50,0.3299999999999983
2019-08-24,80.89,0.39000000000000057
2019-08-25,81.40,0.5100000000000051
2019-08-26,81.91,0.5099999999999909
2019-08-27,82.13,0.21999999999999886
2019-08-28,82.46,0.3299999999999983
2019-08-29,82.86,0.4000000000000057
2019-08-30,83.27,0.4099999999999966
2019-08-31,83.67,0.4000000000000057
2019-09-01,84.05,0.37999999999999545
2019-09-02,84.38,0.3299999999999983
2019-09-03,84.63,0.25
2019-09-04,85.00,0.37000000000000455
2019-09-05,85.30,0.29999999999999716
2019-09-06,85.69,0.39000000000000057
2019-09-07,86.09,0.4000000000000057
2019-09-08,86.55,0.45999999999999375
2019-09-09,86.90,0.3500000000000085
2019-09-10,87.17,0.269999999999996
2019-09-11,87.63,0.45999999999999375
2019-09-12,88.05,0.4200000000000017
2019-09-13,88.37,0.3200000000000074
2019-09-14,88.74,0.36999999999999034
2019-09-15,89.16,0.4200000000000017
2019-09-16,89.46,0.29999999999999716
2019-09-17,89.76,0.30000000000001137
2019-09-18,90.13,0.36999999999999034
2019-09-19,90.54,0.4100000000000108
2019-09-20,90.89,0.3499999999999943
2019-09-21,91.31,0.4200000000000017
2019-09-22,91.64,0.3299999999999983
2019-09-23,91.83,0.18999999999999773
2019-09-25,92.53,0.7000000000000028
2019-09-26,92.89,0.35999999999999943
2019-09-27,93.01,0.12000000000000455
2019-09-29,93.67,0.6599999999999966
2019-10-01,94.39,0.7199999999999989
2019-10-02,94.71,0.3199999999999932
2019-10-03,95.11,0.4000000000000057
2019-10-04,95.45,0.3400000000000034
2019-10-05,95.87,0.4200000000000017
2019-10-06,96.18,0.3100000000000023
2019-10-07,96.54,0.35999999999999943
2019-10-08,96.89,0.3499999999999943
2019-10-09,97.16,0.269999999999996
2019-10-10,97.54,0.38000000000000966
2019-10-11,97.94,0.3999999999999915
2019-10-14,99.28,1.3400000000000034
2019-10-15,99.72,0.4399999999999977
2019-10-16,99.93,0.21000000000000796
2019-10-17,100.29,0.35999999999999943
2019-10-18,100.58,0.28999999999999204
2019-10-19,100.83,0.25
2019-10-20,100.94,0.10999999999999943
2019-10-21,101.22,0.28000000000000114
2019-10-22,101.57,0.3499999999999943
2019-10-23,101.75,0.18000000000000682
2019-10-24,101.92,0.1700000000000017
2019-10-25,102.23,0.3100000000000023
2019-10-26,102.22,-0.010000000000005116
2019-10-27,102.42,0.20000000000000284
2019-10-28,102.72,0.29999999999999716
2019-10-29,103.07,0.3499999999999943
2019-10-30,103.34,0.27000000000001023
2019-10-31,103.55,0.20999999999999375
2019-11-01,103.85,0.29999999999999716
2019-11-02,103.98,0.13000000000000966
2019-11-03,104.41,0.4299999999999926
2019-11-04,104.83,0.4200000000000017
2019-11-05,105.23,0.4000000000000057
2019-11-07,105.70,0.46999999999999886
2019-11-08,105.95,0.25
2019-11-09,106.21,0.2599999999999909
2019-11-10,106.48,0.27000000000001023
2019-11-11,106.67,0.18999999999999773
2019-11-12,106.85,0.1799999999999926
2019-11-13,107.01,0.1600000000000108
2019-11-14,107.25,0.23999999999999488
2019-11-17,108.39,1.1400000000000006
2019-11-18,108.80,0.4099999999999966
2019-11-19,109.13,0.3299999999999983
2019-11-20,109.47,0.3400000000000034
2019-11-21,109.85,0.37999999999999545
2019-11-22,110.28,0.4300000000000068
2019-11-23,110.67,0.39000000000000057
2019-11-24,111.19,0.519999999999996
2019-11-25,111.63,0.4399999999999977
2019-11-26,112.05,0.4200000000000017
2019-11-27,112.28,0.23000000000000398
2019-11-28,112.65,0.37000000000000455
2019-11-29,112.96,0.30999999999998806
2019-11-30,113.44,0.480000000000004
2019-12-01,113.85,0.4099999999999966
2019-12-03,114.61,0.7600000000000051
2019-12-04,114.80,0.18999999999999773
2019-12-07,114.48,-0.3199999999999932
2019-12-08,113.45,-1.0300000000000011
2019-12-09,112.84,-0.6099999999999994
2019-12-10,112.45,-0.39000000000000057
2019-12-12,111.67,-0.7800000000000011
2019-12-13,111.49,-0.18000000000000682
2019-12-15,111.26,-0.22999999999998977
2019-12-16,111.22,-0.04000000000000625
2019-12-17,111.24,0.01999999999999602
2019-12-18,111.09,-0.14999999999999147
2019-12-19,110.99,-0.10000000000000853
2019-12-20,110.87,-0.11999999999999034
2019-12-21,110.80,-0.07000000000000739
2019-12-22,110.78,-0.01999999999999602
2019-12-27,110.68,-0.09999999999999432
2019-12-28,110.68,0
2019-12-29,110.54,-0.14000000000000057
2019-12-30,110.45,-0.09000000000000341
2019-12-31,110.36,-0.09000000000000341
2020-01-01,110.01,-0.3499999999999943
2020-01-02,109.25,-0.7600000000000051
2020-01-03,109.34,0.09000000000000341
2020-01-04,109.90,0.5600000000000023
2020-01-05,110.52,0.6199999999999903
2020-01-06,111.02,0.5
2020-01-07,111.47,0.45000000000000284
2020-01-08,111.81,0.3400000000000034
2020-01-09,112.10,0.28999999999999204
2020-01-10,112.38,0.28000000000000114
2020-01-11,112.76,0.38000000000000966
2020-01-12,113.08,0.3199999999999932
2020-01-13,113.27,0.18999999999999773
2020-01-14,113.49,0.21999999999999886
2020-01-15,113.70,0.21000000000000796
2020-01-16,114.00,0.29999999999999716
2020-01-17,114.21,0.20999999999999375
2020-01-18,114.39,0.18000000000000682
2020-01-19,114.63,0.23999999999999488
2020-01-20,114.81,0.18000000000000682
2020-01-21,114.99,0.1799999999999926
2020-01-22,115.34,0.3500000000000085
2020-01-23,115.74,0.3999999999999915
2020-01-24,115.73,-0.009999999999990905
2020-01-25,115.86,0.12999999999999545
2020-01-26,116.10,0.23999999999999488
2020-01-27,116.46,0.35999999999999943
2020-01-28,116.91,0.45000000000000284
2020-01-30,118.81,1.9000000000000057
2020-01-31,119.05,0.23999999999999488
2020-02-01,119.29,0.2400000000000091
2020-02-03,119.57,0.2799999999999869
2020-02-04,119.75,0.18000000000000682
2020-02-05,120.03,0.28000000000000114
2020-02-06,120.29,0.2600000000000051
2020-02-07,120.49,0.19999999999998863
2020-02-08,120.65,0.1600000000000108
2020-02-09,121.01,0.35999999999999943
2020-02-10,121.28,0.269999999999996
2020-02-12,121.77,0.4899999999999949
2020-02-13,121.97,0.20000000000000284
2020-02-14,122.14,0.1700000000000017
2020-02-15,122.21,0.06999999999999318
2020-02-16,122.41,0.20000000000000284
2020-02-17,122.56,0.15000000000000568
2020-02-18,122.89,0.3299999999999983
2020-02-19,122.96,0.06999999999999318
2020-02-20,123.17,0.21000000000000796
2020-02-21,123.23,0.060000000000002274
2020-02-22,123.44,0.20999999999999375
2020-02-23,123.66,0.21999999999999886
2020-02-24,123.79,0.13000000000000966
2020-02-25,123.90,0.10999999999999943
2020-02-26,124.00,0.09999999999999432
2020-02-27,124.21,0.20999999999999375
2020-02-28,124.54,0.3300000000000125
2020-02-29,124.86,0.3199999999999932
2020-03-01,125.33,0.46999999999999886
2020-03-02,125.76,0.4300000000000068
2020-03-03,126.13,0.36999999999999034
2020-03-04,126.37,0.2400000000000091
2020-03-05,126.63,0.2599999999999909
2020-03-06,126.91,0.28000000000000114
2020-03-08,127.23,0.3200000000000074
2020-03-09,127.26,0.030000000000001137
2020-03-10,127.37,0.10999999999999943
2020-03-11,127.43,0.060000000000002274
2020-03-13,127.86,0.4299999999999926
2020-03-14,128.25,0.39000000000000057
2020-03-15,128.71,0.46000000000000796
2020-03-16,129.03,0.3199999999999932
2020-03-17,129.33,0.30000000000001137
2020-03-18,129.55,0.21999999999999886
2020-03-19,129.80,0.25
2020-03-20,129.95,0.14999999999997726
2020-03-21,130.13,0.18000000000000682
2020-03-22,130.46,0.3300000000000125
2020-03-23,130.80,0.3400000000000034
2020-03-24,131.02,0.21999999999999886
2020-03-25,131.08,0.060000000000002274
2020-03-26,131.12,0.03999999999999204
2020-03-27,131.11,-0.009999999999990905
2020-03-28,131.01,-0.10000000000002274
2020-03-29,130.99,-0.01999999999998181
2020-03-30,131.18,0.18999999999999773
2020-03-31,131.45,0.2699999999999818
2020-04-01,131.47,0.020000000000010232
2020-04-02,131.57,0.09999999999999432
2020-04-03,131.78,0.21000000000000796
2020-04-04,132.13,0.3499999999999943
2020-04-05,132.75,0.6200000000000045
2020-04-06,133.49,0.7400000000000091
2020-04-07,134.15,0.6599999999999966
2020-04-08,134.62,0.46999999999999886
2020-04-09,135.05,0.4300000000000068
2020-04-10,135.68,0.6299999999999955
2020-04-11,136.31,0.6299999999999955
2020-04-12,137.06,0.75
2020-04-13,137.70,0.6399999999999864
2020-04-14,138.27,0.5700000000000216
2020-04-15,138.69,0.4199999999999875
2020-04-16,139.29,0.5999999999999943
2020-04-17,139.91,0.6200000000000045
2020-04-18,140.52,0.6100000000000136
2020-04-19,141.02,0.5
2020-04-20,141.59,0.5699999999999932
2020-04-21,142.13,0.539999999999992
2020-04-23,143.21,1.0800000000000125
2020-04-25,144.06,0.8499999999999943
2020-04-26,144.67,0.6099999999999852
2020-04-27,145.18,0.5100000000000193
2020-04-28,145.74,0.5600000000000023
2020-04-29,146.37,0.6299999999999955
2020-04-30,146.95,0.5799999999999841
2020-05-01,147.25,0.30000000000001137
2020-05-02,146.82,-0.4300000000000068
2020-05-03,146.95,0.12999999999999545
2020-05-04,146.95,0
2020-05-05,147.96,1.0100000000000193
2020-05-06,147.96,0
2020-05-07,147.96,0
2020-05-08,147.96,0
2020-05-09,147.96,0
2020-05-10,149.11,1.1500000000000057
2020-05-11,149.11,0
2020-05-12,149.11,0
2020-05-13,149.11,0
2020-05-14,149.11,0
2020-05-15,150.18,1.0699999999999932
2020-05-16,150.53,0.3499999999999943
2020-05-17,150.18,-0.3499999999999943
2020-05-18,150.18,0
2020-05-19,150.18,0
2020-05-20,150.53,0.3499999999999943
2020-05-21,150.79,0.2599999999999909
2020-05-22,150.79,0
2020-05-23,150.79,0
2020-05-24,150.79,0
2020-05-25,152.37,1.5800000000000125
2020-05-26,152.37,0
2020-05-27,152.37,0
2020-05-28,152.37,0
2020-05-29,152.37,0
2020-05-30,138.87,-13.5
2020-05-31,138.87,0
2020-06-01,139.10,0.22999999999998977
2020-06-02,138.87,-0.22999999999998977
2020-06-03,138.87,0
2020-06-04,87.94,-50.93000000000001
2020-06-05,87.94,0
2020-06-06,87.94,0
2020-06-07,87.94,0
2020-06-08,87.94,0
2020-06-09,71.12,-16.819999999999993
2020-06-10,71.12,0
2020-06-11,71.21,0.0899999999999892
2020-06-12,71.12,-0.0899999999999892
2020-06-14,65.90,-5.219999999999999
2020-06-15,65.90,0
2020-06-16,65.90,0
2020-06-17,65.90,0
2020-06-18,65.90,0
2020-06-19,61.57,-4.330000000000005
2020-06-20,61.57,0
2020-06-21,61.57,0
2020-06-22,61.57,0
2020-06-23,59.28,-2.289999999999999
2020-06-24,58.94,-0.3400000000000034
2020-06-25,58.94,0
2020-06-26,58.94,0
2020-06-27,58.94,0
2020-06-28,58.94,0
2020-06-29,59.64,0.7000000000000028
2020-06-30,60.16,0.519999999999996
2020-07-01,60.37,0.21000000000000085
2020-07-02,60.37,0
2020-07-03,60.37,0
2020-07-04,60.37,0
2020-07-05,60.37,0
2020-07-06,60.08,-0.28999999999999915
2020-07-07,60.08,0
2020-07-08,60.08,0
2020-07-09,60.08,0
2020-07-10,60.08,0
2020-07-11,59.40,-0.6799999999999997
2020-07-12,59.40,0
2020-07-13,59.40,0
2020-07-14,59.40,0
2020-07-15,59.40,0
2020-07-16,59.26,-0.14000000000000057
2020-07-17,59.26,0
2020-07-18,59.26,0
2020-07-19,59.26,0
2020-07-20,59.26,0
2020-07-21,58.66,-0.6000000000000014
2020-07-22,58.66,0
2020-07-23,58.66,0
2020-07-24,58.66,0
2020-07-25,58.66,0
2020-07-26,57.39,-1.269999999999996
2020-07-27,57.39,0
2020-07-28,57.39,0
2020-07-29,57.39,0
2020-07-30,60.42,3.030000000000001
2020-07-31,60.42,0
